date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:12	5978/5978	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:12%20GMT	https://vicmart.salescabal.com/store/alpha/images/custom/tt-gift-box-border1.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/images/custom/tt-gift-box-border1.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:13	5978/5978	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:13%20GMT	https://vicmart.salescabal.com/store/alpha/images/custom/wrapper-section-01.jpg	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/images/custom/wrapper-section-01.jpg	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:14	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:13%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/collections)
08:23:14	727/727	---M--	200	added ('OK')	image/svg+xml	etag:%225e61d133-2d7%22	https://vicmart.salescabal.com/store/alpha/images/loader.svg	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/images/loader.svg	(from https://vicmart.salescabal.com/collections)
08:23:15	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:14%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/collections)
08:23:16	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:15%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/collections)
08:23:16	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:16%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/browse)
08:23:17	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:17%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/browse)
08:23:18	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:17%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/browse)
08:23:19	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:18%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/cart)
08:23:19	382/382	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:19%20GMT	https://vicmart.salescabal.com/cart/detete	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/cart/detete	(from https://vicmart.salescabal.com/cart)
08:23:20	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:20%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/cart)
08:23:21	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:21%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/cart)
08:23:22	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:22%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/login)
08:23:23	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:22%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/login)
08:23:23	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:23%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/login)
08:23:24	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:24%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/register)
08:23:25	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:25%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/register)
08:23:26	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:23:25%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/account/register)
